,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,2021,Precious Achiuwa,PF,21,MIA,4,63,11.2,.591,.000,.381,10.2,16.6,13.7,5.2,0.7,3.0,19.7,21.1,,0.0,0.0,0.0,.009,,,,,
1,2021,Steven Adams,C,27,NOP,5,148,20.3,.657,.000,.118,13.3,19.0,16.2,10.6,2.3,4.8,14.4,12.1,,0.3,0.4,0.7,.223,,,,,
2,2021,Bam Adebayo,PF,23,MIA,4,123,21.9,.684,.000,.533,4.2,21.2,13.6,27.6,1.5,3.8,23.4,25.7,,0.3,0.1,0.4,.144,,,,,
3,2021,LaMarcus Aldridge,PF,35,SAS,3,78,9.3,.458,.289,.079,2.6,14.3,8.5,11.1,0.0,4.0,9.2,23.3,,-0.1,0.1,-0.1,-0.033,,,,,
4,2021,Ty-Shon Alexander,SG,22,PHO,2,5,-19.2,.000,.333,.000,0.0,22.2,11.0,23.6,0.0,0.0,0.0,26.7,,-0.1,0.0,-0.1,-0.489,,,,,
5,2021,Nickeil Alexander-Walker,SG,22,NOP,3,44,14.5,.532,.320,.120,0.0,9.8,4.9,21.0,3.3,0.0,16.0,30.7,,0.0,0.1,0.1,.063,,,,,
6,2021,Grayson Allen,SG,25,MEM,4,92,7.1,.414,.842,.474,4.4,7.9,6.1,13.4,0.5,0.9,11.6,11.5,,0.0,0.0,0.0,-0.007,,,,,
7,2021,Jarrett Allen,C,22,BRK,5,113,24.4,.730,.000,1.286,21.0,31.1,26.4,7.1,0.4,4.7,21.5,15.5,,0.4,0.2,0.7,.293,,,,,
8,2021,Kyle Anderson,SF,27,MEM,4,130,12.6,.560,.412,.275,3.1,24.7,13.8,17.1,0.0,2.0,19.7,22.2,,0.0,0.0,0.0,.008,,,,,
9,2021,Giannis Antetokounmpo,PF,26,MIL,5,157,23.7,.550,.293,.549,6.6,32.8,19.4,24.5,2.7,1.8,15.0,31.1,,0.3,0.3,0.6,.173,,,,,
10,2021,Kostas Antetokounmpo,PF,23,LAL,1,8,-9.1,.000,.000,.000,0.0,51.3,27.8,0.0,0.0,21.4,50.0,21.2,,-0.1,0.0,-0.1,-0.413,,,,,
11,2021,Thanasis Antetokounmpo,SF,28,MIL,4,46,9.1,.722,.222,.000,9.0,11.6,10.3,13.3,1.0,2.0,40.0,13.3,,0.0,0.0,0.0,.050,,,,,
12,2021,Carmelo Anthony,PF,36,POR,3,70,14.4,.530,.154,.615,1.6,14.0,7.8,8.6,2.1,0.0,5.7,21.9,,0.1,0.0,0.1,.057,,,,,
13,2021,Cole Anthony,PG,20,ORL,5,102,16.0,.458,.271,.313,6.7,19.0,12.6,26.1,1.4,0.0,8.4,24.1,,0.1,0.1,0.2,.097,,,,,
14,2021,OG Anunoby,SF,23,TOR,4,143,11.9,.519,.649,.270,4.8,14.5,9.5,7.4,3.5,2.6,12.7,13.9,,0.0,0.4,0.4,.128,,,,,
15,2021,Ryan Arcidiacono,PG,26,CHI,2,28,14.5,.484,.556,.333,0.0,23.9,11.9,19.4,3.2,0.0,0.0,14.8,,0.0,0.0,0.1,.122,,,,,
16,2021,D.J. Augustin,PG,33,MIL,4,61,12.8,.568,.636,.273,5.1,3.5,4.3,10.0,0.8,0.0,10.9,18.5,,0.1,0.0,0.1,.111,,,,,
17,2021,Deni Avdija,SF,20,WAS,5,130,11.8,.638,.615,.192,2.5,17.8,10.0,12.8,1.7,0.6,9.6,9.9,,0.2,0.1,0.3,.098,,,,,
18,2021,Deandre Ayton,C,22,PHO,5,138,16.1,.507,.045,.273,11.8,33.0,22.3,10.4,0.7,3.9,10.9,17.8,,0.1,0.4,0.5,.171,,,,,
19,2021,Udoka Azubuike,C,21,UTA,1,4,30.7,1.000,.000,.000,27.1,0.0,13.2,0.0,0.0,0.0,0.0,10.5,,0.0,0.0,0.0,.334,,,,,
20,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2021,Dwayne Bacon,SG,25,ORL,5,107,11.2,.611,.226,.129,0.9,17.1,8.6,6.6,0.4,0.8,10.9,14.2,,0.1,0.1,0.2,.088,,,,,
22,2021,Marvin Bagley III,PF,21,SAC,5,125,8.6,.438,.203,.322,10.2,24.7,17.2,4.7,0.8,1.4,14.0,26.1,,-0.2,0.1,-0.1,-0.055,,,,,
23,2021,LaMelo Ball,PG,19,CHO,4,81,17.0,.609,.484,.194,7.2,17.8,12.2,24.6,2.9,1.3,22.9,22.1,,0.1,0.1,0.2,.131,,,,,
24,2021,Lonzo Ball,PG,23,NOP,5,155,11.3,.492,.603,.155,2.1,13.9,8.1,23.1,2.8,2.3,20.5,21.7,,-0.2,0.3,0.2,.055,,,,,
25,2021,Desmond Bane,SG,22,MEM,4,89,10.3,.696,.708,.042,4.6,9.3,6.9,0.0,1.0,0.0,14.1,13.0,,0.1,0.0,0.1,.057,,,,,
26,2021,Harrison Barnes,PF,28,SAC,5,175,16.0,.545,.262,.262,5.5,20.9,12.9,13.3,0.8,1.0,8.8,18.9,,0.3,0.1,0.4,.104,,,,,
27,2021,RJ Barrett,SG,20,NYK,5,185,8.0,.423,.296,.284,3.5,16.4,10.2,15.9,1.0,0.0,11.6,23.8,,-0.3,0.2,-0.1,-0.020,,,,,
28,2021,Will Barton,SG,30,DEN,4,106,12.1,.482,.261,.239,2.3,13.8,8.3,10.7,1.4,1.7,5.6,21.8,,0.0,0.0,0.0,.008,,,,,
29,2021,Keita Bates-Diop,SF,25,SAS,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.003,,,,,
30,2021,Nicolas Batum,SF,32,LAC,5,136,14.6,.629,.536,.179,6.8,20.3,13.5,16.6,1.8,0.8,14.2,11.3,,0.3,0.1,0.4,.151,,,,,
31,2021,Aron Baynes,C,34,TOR,4,85,6.4,.468,.452,.000,8.1,23.2,15.4,5.7,0.0,0.0,13.9,17.8,,-0.1,0.2,0.1,.030,,,,,
32,2021,Kent Bazemore,SF,31,GSW,2,16,-2.0,.250,.250,.000,0.0,13.3,6.2,25.9,2.8,0.0,33.3,14.7,,-0.1,0.0,-0.1,-0.180,,,,,
33,2021,Darius Bazley,PF,20,OKC,4,122,6.7,.438,.400,.125,3.5,22.1,13.1,6.1,0.4,3.9,19.2,18.3,,-0.3,0.1,-0.2,-0.068,,,,,
34,2021,Bradley Beal,SG,27,WAS,5,183,21.5,.570,.246,.456,2.9,10.2,6.5,19.3,2.2,1.4,12.2,35.0,,0.3,0.1,0.3,.091,,,,,
35,2021,Malik Beasley,SG,24,MIN,4,118,13.5,.514,.400,.233,2.4,16.2,8.4,5.5,1.2,0.0,5.7,24.3,,0.1,0.0,0.1,.043,,,,,
36,2021,DeAndre' Bembry,SF,26,TOR,3,14,-3.0,.500,.000,.000,0.0,22.2,10.8,10.2,0.0,6.6,60.0,15.0,,-0.1,0.0,0.0,-0.145,,,,,
37,2021,Dāvis Bertāns,PF,28,WAS,5,107,12.4,.523,.875,.500,2.0,11.3,6.6,8.5,1.3,1.5,2.0,19.1,,0.2,0.0,0.2,.080,,,,,
38,2021,Patrick Beverley,PG,32,LAC,5,109,11.7,.630,.633,.133,8.4,9.5,9.0,5.1,2.2,0.0,13.6,14.8,,0.2,0.1,0.2,.101,,,,,
39,2021,Saddiq Bey,SF,21,DET,3,51,5.9,.426,.636,.273,3.9,22.6,12.6,2.8,0.0,0.0,3.9,21.0,,0.0,0.0,0.0,-0.036,,,,,
40,2021,Khem Birch,C,28,ORL,5,89,13.5,.525,.000,.370,8.8,18.1,13.3,6.1,2.1,1.8,11.3,16.4,,0.1,0.1,0.2,.118,,,,,
41,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2021,Bismack Biyombo,C,28,CHO,4,114,13.3,.596,.000,.667,10.3,12.7,11.4,10.6,0.0,4.5,13.9,13.0,,0.2,0.1,0.3,.132,,,,,
43,2021,Nemanja Bjelica,PF,32,SAC,5,79,19.6,.656,.241,.414,8.1,17.4,12.5,17.3,0.0,1.1,12.7,20.7,,0.3,0.0,0.3,.172,,,,,
44,2021,Eric Bledsoe,PG,31,NOP,5,145,10.3,.523,.531,.122,0.8,6.0,3.4,16.0,1.7,1.6,16.2,18.3,,0.0,0.2,0.2,.067,,,,,
45,2021,Keljin Blevins,SF,25,POR,2,13,-5.2,.200,.600,.000,0.0,0.0,0.0,31.6,3.7,0.0,28.6,23.6,,-0.1,0.0,-0.1,-0.349,,,,,
46,2021,Bogdan Bogdanović,SG,28,ATL,4,116,16.3,.621,.761,.152,1.0,20.3,11.2,12.3,1.2,0.8,9.2,19.0,,0.3,0.0,0.3,.124,,,,,
47,2021,Bojan Bogdanović,SF,31,UTA,4,131,6.8,.447,.558,.173,3.3,10.2,6.9,5.5,0.7,0.6,11.1,20.1,,-0.1,0.1,0.0,-0.004,,,,,
48,2021,Bol Bol,C,21,DEN,3,14,-10.1,.000,.500,.000,0.0,8.0,4.2,0.0,0.0,6.5,0.0,12.3,,-0.1,0.0,-0.1,-0.301,,,,,
49,2021,Marques Bolden,C,22,CLE,3,8,19.8,.687,.000,6.000,0.0,13.7,6.8,0.0,0.0,0.0,0.0,19.5,,0.0,0.0,0.0,.225,,,,,
50,2021,Jordan Bone,PG,23,ORL,1,9,17.8,.500,.250,.000,10.9,12.0,11.4,17.1,0.0,0.0,0.0,18.3,,0.0,0.0,0.0,.137,,,,,
51,2021,Isaac Bonga,PG,21,WAS,5,71,13.8,.844,.667,.083,4.5,17.1,10.7,9.2,1.3,3.5,19.4,8.9,,0.1,0.0,0.2,.114,,,,,
52,2021,Devin Booker,SG,24,PHO,5,169,12.3,.562,.346,.247,0.6,13.8,7.1,20.2,2.0,1.1,23.1,30.7,,-0.3,0.4,0.1,.019,,,,,
53,2021,Chris Boucher,PF,28,TOR,4,72,22.0,.596,.303,.212,10.9,24.5,17.5,8.0,0.0,12.8,10.0,23.4,,0.1,0.2,0.3,.193,,,,,
54,2021,Avery Bradley,SG,30,MIA,3,82,16.0,.719,.630,.185,0.0,7.6,4.2,9.6,2.3,0.0,12.0,17.6,,0.2,0.0,0.2,.112,,,,,
55,2021,Tony Bradley,C,23,PHI,1,17,13.1,.269,.000,.143,25.7,23.1,24.3,8.7,0.0,9.7,0.0,18.4,,0.0,0.0,0.0,.072,,,,,
56,2021,Ignas Brazdeikis,SF,22,NYK,2,2,49.2,.532,.000,2.000,53.6,49.0,51.2,0.0,0.0,0.0,0.0,40.2,,0.0,0.0,0.0,.589,,,,,
57,2021,Mikal Bridges,SF,24,PHO,5,166,20.7,.729,.560,.160,4.6,15.4,9.9,1.8,1.5,3.8,0.0,14.3,,0.6,0.4,0.9,.274,,,,,
58,2021,Miles Bridges,SF,22,CHO,4,103,16.4,.662,.556,.111,3.8,29.1,15.6,8.3,1.4,5.9,19.2,18.6,,0.1,0.2,0.3,.129,,,,,
59,2021,Malcolm Brogdon,PG,28,IND,5,172,19.9,.594,.359,.179,2.1,10.6,6.6,24.9,2.2,0.0,11.6,23.5,,0.4,0.2,0.6,.171,,,,,
60,2021,Dillon Brooks,SG,25,MEM,4,127,12.8,.487,.365,.095,5.6,9.0,7.3,17.9,2.9,0.0,13.5,28.5,,-0.1,0.1,-0.1,-0.021,,,,,
61,2021,Bruce Brown,PG,24,BRK,2,10,-6.3,.333,.333,.000,0.0,18.5,10.0,13.0,0.0,0.0,40.0,20.9,,-0.1,0.0,-0.1,-0.254,,,,,
62,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2021,Jaylen Brown,SF,24,BOS,5,165,29.1,.638,.260,.323,3.9,11.8,7.6,18.3,2.6,1.6,7.6,30.5,,0.7,0.1,0.8,.230,,,,,
64,2021,Moses Brown,C,21,OKC,1,3,-5.8,.000,.000,2.000,0.0,66.7,34.4,0.0,0.0,26.7,0.0,26.9,,0.0,0.0,0.0,-0.519,,,,,
65,2021,Sterling Brown,SG,25,HOU,3,63,17.4,.933,.667,.000,1.8,8.7,5.3,6.9,1.5,0.0,6.3,11.0,,0.2,0.0,0.2,.166,,,,,
66,2021,Troy Brown Jr.,SF,21,WAS,5,87,3.5,.500,.619,.000,3.7,12.7,8.1,8.8,0.0,0.0,19.2,12.3,,-0.1,0.0,-0.1,-0.040,,,,,
67,2021,Jalen Brunson,PG,24,DAL,4,66,18.8,.591,.344,.313,0.0,17.5,8.4,32.5,0.7,0.0,16.1,29.1,,0.1,0.0,0.1,.090,,,,,
68,2021,Thomas Bryant,C,23,WAS,5,156,17.6,.664,.254,.220,6.9,11.3,9.1,7.9,0.6,3.7,11.0,19.1,,0.3,0.0,0.4,.114,,,,,
69,2021,Reggie Bullock,SF,29,NYK,5,149,5.4,.454,.640,.080,0.7,11.8,6.5,8.3,1.0,1.2,8.8,16.3,,-0.1,0.2,0.0,.012,,,,,
70,2021,Trey Burke,PG,28,DAL,4,81,11.1,.538,.571,.143,0.0,5.7,2.7,13.0,1.8,1.2,9.2,17.9,,0.0,0.1,0.1,.049,,,,,
71,2021,Alec Burks,SG,29,NYK,3,83,26.0,.760,.469,.625,0.0,13.0,6.8,23.8,1.7,2.2,14.6,24.6,,0.4,0.1,0.5,.296,,,,,
72,2021,Jimmy Butler,SF,31,MIA,2,52,19.4,.475,.045,.227,9.8,10.0,9.9,35.8,7.2,0.0,22.4,26.1,,0.0,0.1,0.1,.055,,,,,
73,2021,Bruno Caboclo,PF,25,HOU,2,23,-7.1,.300,.400,.000,4.9,28.6,17.0,0.0,0.0,3.7,28.6,26.3,,-0.2,0.0,-0.2,-0.365,,,,,
74,2021,Kentavious Caldwell-Pope,SG,27,LAL,5,125,14.4,.767,.607,.321,0.0,5.7,3.1,6.9,1.9,2.0,13.5,12.6,,0.3,0.2,0.4,.171,,,,,
75,2021,Facundo Campazzo,PG,29,DEN,4,29,3.6,.524,.800,1.200,0.0,15.5,8.1,20.3,3.3,0.0,39.6,18.7,,-0.1,0.0,0.0,-0.081,,,,,
76,2021,Vlatko Čančar,PF,23,DEN,1,4,-23.1,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,21.5,,0.0,0.0,-0.1,-0.646,,,,,
77,2021,Clint Capela,C,26,ATL,2,40,17.9,.509,.000,.333,13.8,39.2,27.2,3.4,0.0,6.6,6.8,15.0,,0.1,0.0,0.1,.126,,,,,
78,2021,Vernon Carey Jr.,C,19,CHO,1,4,0.7,.000,.500,.000,0.0,27.7,13.0,28.6,0.0,25.4,0.0,20.5,,0.0,0.0,0.0,-0.245,,,,,
79,2021,Jevon Carter,PG,25,PHO,5,61,2.7,.348,.609,.000,0.0,14.6,7.2,6.7,1.6,0.0,4.2,17.5,,-0.2,0.1,0.0,-0.029,,,,,
80,2021,Wendell Carter Jr.,C,21,CHI,5,142,13.4,.608,.163,.465,7.0,25.9,16.4,12.6,0.3,1.9,17.5,17.8,,0.2,0.1,0.2,.076,,,,,
81,2021,Michael Carter-Williams,SG,29,ORL,5,111,11.6,.506,.207,.207,8.8,15.5,12.0,9.6,1.7,2.2,15.9,14.0,,0.0,0.1,0.2,.085,,,,,
82,2021,Alex Caruso,PG,26,LAL,3,41,10.1,.727,.727,.000,0.0,12.5,6.8,9.2,2.3,0.0,31.3,16.6,,0.0,0.1,0.0,.048,,,,,
83,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2021,Willie Cauley-Stein,C,27,DAL,4,47,16.1,.568,.091,.636,11.3,19.7,15.3,9.5,2.1,4.2,12.4,15.1,,0.1,0.1,0.1,.151,,,,,
85,2021,Chris Chiozza,PG,25,BRK,1,27,5.0,.470,.571,.143,0.0,3.4,1.8,21.7,0.0,0.0,16.8,27.6,,0.0,0.0,0.0,-0.068,,,,,
86,2021,Marquese Chriss,PF,23,GSW,2,27,12.3,.412,.357,.286,10.4,39.3,23.9,12.3,0.0,6.7,11.3,25.9,,-0.1,0.0,0.0,-0.054,,,,,
87,2021,Gary Clark,SF,26,ORL,2,19,2.8,.338,.750,.250,5.2,22.7,13.5,6.4,0.0,0.0,18.4,11.8,,0.0,0.0,0.0,-0.042,,,,,
88,2021,Brandon Clarke,PF,24,MEM,4,101,9.6,.424,.146,.341,6.0,14.4,10.2,5.8,0.9,1.7,4.1,19.8,,-0.1,0.0,-0.1,-0.031,,,,,
89,2021,Jordan Clarkson,SG,28,UTA,4,90,24.0,.607,.440,.200,7.2,14.9,11.2,10.1,1.6,0.9,8.4,27.7,,0.3,0.1,0.4,.212,,,,,
90,2021,Amir Coffey,SG,23,LAC,5,36,7.6,.450,.500,.250,3.2,3.2,3.2,11.2,0.0,0.0,0.0,16.2,,0.0,0.0,0.0,.025,,,,,
91,2021,John Collins,PF,23,ATL,4,102,24.9,.668,.239,.391,9.7,19.2,14.8,7.9,0.9,4.3,8.5,23.5,,0.5,0.1,0.5,.240,,,,,
92,2021,Mike Conley,PG,33,UTA,4,130,18.1,.591,.500,.268,2.5,16.7,9.8,23.4,1.5,0.6,13.8,23.4,,0.3,0.2,0.5,.168,,,,,
93,2021,Pat Connaughton,SG,28,MIL,5,88,12.6,.587,.739,.000,1.2,18.3,9.6,9.5,1.1,2.1,4.2,11.1,,0.2,0.1,0.2,.130,,,,,
94,2021,Quinn Cook,PG,27,LAL,4,13,18.5,.538,.571,.143,0.0,7.9,4.3,21.6,0.0,0.0,0.0,24.3,,0.0,0.0,0.0,.175,,,,,
95,2021,DeMarcus Cousins,C,30,HOU,1,14,16.3,.680,.400,.400,0.0,7.8,4.0,32.9,0.0,0.0,25.4,24.4,,0.0,0.0,0.0,.037,,,,,
96,2021,Robert Covington,PF,30,POR,4,123,6.8,.444,.696,.174,1.8,16.8,9.3,6.6,2.7,1.5,13.9,10.2,,-0.1,0.1,0.0,-0.013,,,,,
97,2021,Torrey Craig,SF,30,MIL,2,13,2.0,.000,.000,.000,0.0,33.0,16.2,16.2,0.0,7.2,50.0,6.3,,0.0,0.0,0.0,-0.032,,,,,
98,2021,Jae Crowder,SF,30,PHO,5,142,15.5,.604,.723,.128,2.3,19.6,10.8,11.1,1.4,0.6,5.7,16.5,,0.3,0.3,0.6,.189,,,,,
99,2021,Jarrett Culver,SG,21,MIN,4,95,9.4,.431,.324,.206,10.7,23.9,16.5,3.0,1.5,1.8,13.9,18.6,,-0.1,0.1,0.0,-0.018,,,,,
100,2021,Seth Curry,SG,30,PHI,5,144,19.3,.729,.587,.304,0.8,7.5,4.3,19.9,1.6,0.6,11.8,17.3,,0.5,0.3,0.8,.258,,,,,
101,2021,Stephen Curry,PG,32,GSW,4,131,22.0,.580,.550,.325,2.1,9.7,5.7,40.0,2.4,1.4,15.7,32.6,,0.2,0.1,0.3,.093,,,,,
102,2021,Anthony Davis,PF,27,LAL,4,131,19.6,.601,.150,.217,2.8,23.5,14.0,16.6,1.1,1.3,13.2,24.6,,0.2,0.2,0.4,.154,,,,,
103,2021,Ed Davis,PF,31,MIN,3,25,13.9,.333,.000,.000,29.7,23.9,27.1,10.8,0.0,6.7,25.0,13.1,,0.0,0.0,0.0,.035,,,,,
104,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2021,Terence Davis,SG,23,TOR,2,19,5.9,.714,.714,.000,0.0,21.8,10.6,0.0,0.0,4.8,36.4,24.4,,-0.1,0.0,0.0,-0.081,,,,,
106,2021,DeMar DeRozan,SG,31,SAS,4,138,24.6,.622,.164,.582,2.2,14.0,8.1,33.9,1.3,1.7,9.2,23.1,,0.6,0.1,0.7,.246,,,,,
107,2021,Hamidou Diallo,SG,22,OKC,4,79,13.0,.456,.100,.300,6.8,20.3,13.7,12.0,3.0,2.0,12.8,21.1,,-0.1,0.1,0.0,.020,,,,,
108,2021,Gorgui Dieng,C,31,MEM,4,56,23.7,.646,.520,.120,7.3,18.5,12.8,11.5,2.5,4.5,10.2,21.2,,0.2,0.1,0.2,.177,,,,,
109,2021,Spencer Dinwiddie,PG,27,BRK,3,64,10.4,.536,.438,.375,0.0,18.8,10.1,18.1,1.5,1.2,21.2,15.4,,0.0,0.1,0.1,.088,,,,,
